,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,Location,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu_over_sf),SiteEUIWN(kBtu_over_sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,Comment,ComplianceStatus,Outlier,2010 Census Tracts,SPD MCPP Areas,City Council Districts,SPD Beats,Zip Codes,NonRes,Compl,Outlier_ok,Anciennete,no_zero_floors,measure_floors,Intensité de consommation,log_PropertyGFATotal,log_PropertyGFAParking,log_PropertyGFABuilding(s),log_SiteEnergyUse(kBtu),log_SiteEnergyUseWN(kBtu),log_SiteEUI(kBtu_over_sf),log_SiteEUIWN(kBtu_over_sf),log_TotalGHGEmissions,log_GHGEmissionsIntensity,log_measure_floors,log_Anciennete,Address,City,State,ZipCode,Latitude,Longitude
159,250,2016,NonResidential,Hotel,Silver Cloud Hotel - Stadium,7666206720,,2,GREATER DUWAMISH,2005,1.0,9.0,168449,14567,153882,"Food Service, Hotel, Parking",Hotel,135006.0,Parking,20600.0,Food Service,9216.0,,64.0,88.19999695,89.19999695,183.0,182.6999969,12726789.0,12871628.0,0.0,1826563.0,6232233.0,64945.55078,6494555.0,,388.37,2.31,False,,Compliant,,,,,,,1,1,,11,9.0,64171.35552093137,2,12.034388312337411,9.586513975448948,11.943941353922398,16.35921969991006,16.370536067298897,4.479606928432246,4.490881005393138,5.961958493475206,0.8372475245337022,11.069312214425636,2.3978952727983707,1046 1st Ave S,Seattle,WA,98134.0,47.59269,-122.33372
163,263,2016,NonResidential,Other,Building 1,8632880000,,5,NORTH,2008,1.0,6.0,419848,335109,84739,"Fast Food Restaurant, Medical Office, Movie Theater, Parking, Retail Store",Parking,335109.0,Movie Theater,65000.0,Medical Office,13567.0,,,107.8000031,109.0,285.7000122,285.1000061,9134963.0,9238992.0,0.0,2050189.25,6995246.0,21397.16016,2139716.0,,162.41,0.39,False,,Compliant,,,,,,,1,1,,8,6.0,42644.989890296674,1,12.947648019994313,12.722211131019172,11.347331223308466,16.027619697430268,16.03894334675793,4.680277687231854,4.6913478822291435,5.090124002186512,-0.941608539858445,10.660665075686625,2.0794415416798357,316 NE Thornton Place,Seattle,WA,98125.0,47.70281,-122.32532
162,263,2015,NonResidential,Other,THORNTON CINEMA BUILDING & PARKING GARAGE,8632880000,"{'latitude': '47.7024765', 'longitude': '-122.32480621', 'human_address': '{""address"": ""301 NE 103RD ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98125""}'}",5,NORTH,2008,1.0,6.0,419848,335109,84739,"Fast Food Restaurant, Medical Office, Movie Theater, Parking, Retail Store",Parking,335109.0,Movie Theater,65000.0,Medical Office,13567.0,,,111.8,111.9,298.9,291.2,9477865.0,9478424.0,0.0,2155837.0,7356021.0,21221.0,2122149.0,0.0,163.99,0.32,No,,Compliant,,,46.0,,28.0,19579.0,1,1,,7,6.0,42644.989890296674,1,12.947648019994313,12.722211131019172,11.347331223308466,16.06446963789694,16.06452861568528,4.716711560720999,4.71760561531788,5.099805450355355,-1.1394342831883648,10.660665075686625,1.9459101490553132,,,,,,
163,264,2015,NonResidential,Mixed Use Property,TRIBECA CONDOS & STORE,8681450000,"{'latitude': '47.62392426', 'longitude': '-122.35764313', 'human_address': '{""address"": ""516 1ST AVE W"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98119""}'}",7,MAGNOLIA / QUEEN ANNE,2002,1.0,4.0,110785,39179,71606,"Financial Office, Multifamily Housing, Parking, Retail Store, Supermarket/Grocery Store",Multifamily Housing,58563.0,Supermarket/Grocery Store,48520.0,Parking,29839.0,,,95.8,99.4,293.5,303.5,10608788.0,11015204.0,0.0,2997659.0,10228437.0,3808.0,380776.0,0.0,91.53,0.43,No,,Compliant,,,50.0,,40.0,19575.0,1,1,,13,4.0,39308.93795973727,,11.615346665069376,10.575896167946674,11.178934148320488,16.17719327220847,16.214787058246813,4.562262684976814,4.599152113662528,4.516666787396688,-0.843970070294529,10.579207201000246,2.5649493574615367,,,,,,
169,274,2015,NonResidential,Non-Refrigerated Warehouse,MINI-WAREHOUSE/RETAIL,8033700250,"{'latitude': '47.65094364', 'longitude': '-122.3422377', 'human_address': '{""address"": ""3616 STONE WAY N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98103""}'}",4,LAKE UNION,1991,1.0,3.0,75397,8161,67236,"Non-Refrigerated Warehouse, Parking",Non-Refrigerated Warehouse,67236.0,Parking,8161.0,,,,91.0,7.7,8.2,20.7,21.2,516216.0,551381.0,0.0,119143.0,406533.0,1097.0,109700.0,0.0,8.66,0.09,No,,Compliant,,,61.0,,3.0,18377.0,1,1,,24,3.0,40376.76551475137,1,11.230522765406084,9.007121989469242,11.115964097353285,13.154280561524379,13.220181319234227,2.0412203288596382,2.1041341542702074,2.1587147225743437,-2.4079456086518722,10.606009787488459,3.1780538303479458,,,,,,
169,274,2016,NonResidential,Warehouse,27020-Seattle / Stone Way North,8033700250,,4,LAKE UNION,1991,1.0,3.0,75397,8161,67236,"Non-Refrigerated Warehouse, Parking",Non-Refrigerated Warehouse,67236.0,Parking,8161.0,,,,91.0,8.199999809,8.5,21.70000076,22.10000038,549181.375,571637.5,0.0,124086.0,423381.0,1258.0,125800.0,,9.63,0.13,False,,Compliant,,,,,,,1,1,,25,3.0,40376.76551475137,,11.230522765406084,9.007121989469242,11.115964097353285,13.216184039336584,13.25626032820432,2.104134130977524,2.1400661634962708,2.2648832258100344,-2.0402208285265546,10.606009787488459,3.2188758248682006,3600 Stone Way North,Seattle,WA,98103.0,47.65097,-122.34227
171,278,2015,NonResidential,Senior Care Community,ID VILLAGE SQUARE 1,8592900105,"{'latitude': '47.59626518', 'longitude': '-122.3219466', 'human_address': '{""address"": ""802 S DEARBORN ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98134""}'}",2,DOWNTOWN,1999,1.0,5.0,102796,12611,90185,"K-12 School, Medical Office, Office, Restaurant, Retail Store, Senior Care Community",Senior Care Community,55259.0,Medical Office,40091.0,K-12 School,3231.0,,,103.3,106.1,270.1,273.0,10620628.0,10902412.0,0.0,2329774.0,7949519.0,26714.0,2671438.0,0.0,197.3,1.59,No,,Compliant,,,27.0,,22.0,18379.0,1,1,,16,5.0,44897.379744151054,2,11.540501720740332,9.442324727955874,11.4096183951043,16.17830870573972,16.20449460712326,4.637637376125593,4.664382045619937,5.2847254130285695,0.4637340162321402,10.712134714436184,2.772588722239781,,,,,,
171,278,2016,NonResidential,Senior Care Community,ID Village Square 1,8592900105,,2,DOWNTOWN,1999,1.0,5.0,102796,12611,90185,"K-12 School, Medical Office, Office, Restaurant, Retail Store, Senior Care Community",Senior Care Community,55259.0,Medical Office,40091.0,K-12 School,3231.0,,,98.30000305,100.0,254.3000031,256.1000061,10105379.0,10281401.0,0.0,2177261.5,7428816.0,26765.61133,2676561.0,,193.94,1.89,False,,Compliant,,,,,,,1,1,,17,5.0,44897.379744151054,2,11.540501720740332,9.442324727955874,11.4096183951043,16.128578414301575,16.14584709275216,4.588024058180587,4.605170185988092,5.2675488328764,0.636576829071551,10.712134714436184,2.833213344056216,802 S. Dearborn St.,Seattle,WA,98104.0,47.59626,-122.3218
193,313,2016,NonResidential,Medical Office,BMR-201 Elliott Avenue LLC,7666202190,,7,MAGNOLIA / QUEEN ANNE,1927,1.0,5.0,190000,39000,151000,"Medical Office, Office",Medical Office,146741.0,Office,9805.0,,,,1.0,183.5,183.5,443.0,443.0,28731502.0,28731502.0,0.0,5493974.5,18745441.0,99860.58594,9986059.0,,661.04,3.48,False,,Compliant,,,,,,,1,1,,89,5.0,64956.29439396553,1,12.154779351142624,10.571316925111784,11.925035115797062,17.17350470943578,17.17350470943578,5.212214667494625,5.212214667494625,6.493814352392929,1.247032293786383,11.081469928780594,4.48863636973214,201 Elliott Avenue West,Seattle,WA,98119.0,47.61972,-122.36033
193,313,2015,NonResidential,Medical Office,ELLIOTT PARK BUILDING,7666202190,"{'latitude': '47.61994816', 'longitude': '-122.3606641', 'human_address': '{""address"": ""201 ELLIOTT AVE W"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98119""}'}",7,MAGNOLIA / QUEEN ANNE,1927,1.0,5.0,190000,39000,151000,"Medical Office, Office",Medical Office,146741.0,Office,9805.0,,,,7.0,126.6,126.1,330.0,328.5,19816686.0,19745870.0,0.0,4325766.0,14760126.0,50572.0,5057172.0,0.0,371.48,1.62,No,,Compliant,,,50.0,,40.0,19575.0,1,1,,88,5.0,64956.29439396553,1,12.154779351142624,10.571316925111784,11.925035115797062,16.802034868042234,16.79845491351999,4.841032509710076,4.837075242970874,5.917495026907807,0.4824261492442928,11.081469928780594,4.477336814478207,,,,,,
196,316,2016,NonResidential,Hotel,337v2-Seattle Waterfront Marriott,7666202345,,7,DOWNTOWN,2003,1.0,8.0,254273,38800,215473,Hotel,Hotel,277000.0,,,,,,29.0,96.19999695,96.90000153,204.8999939,205.0,26659244.0,26831896.0,0.0,4033863.5,13763542.0,128957.0,12895700.0,,780.84,3.07,False,,Compliant,,,,,,,1,1,,13,8.0,79451.30695029127,2,12.446163771962913,10.566175525611365,12.280590890653286,17.098646515223493,17.105101887068624,4.566429325966879,4.573679534686194,6.660370263294893,1.1216775615991057,11.282899621801763,2.5649493574615367,2100 Alaskan Way,Seattle,WA,98121.0,47.61069,-122.34653
196,316,2015,NonResidential,Hotel,SEATTLE WATERFRONT MARRIOTT,7666202345,"{'latitude': '47.61067514', 'longitude': '-122.3465482', 'human_address': '{""address"": ""2100 ALASKAN WAY"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,2003,1.0,8.0,254273,38800,215473,Hotel,Hotel,277000.0,,,,,,23.0,100.3,98.4,216.1,210.0,27787286.0,27255250.0,0.0,4301432.0,14677095.0,131108.0,13110800.0,0.0,798.63,2.89,No,,Compliant,,,5.0,,9.0,19576.0,1,1,,12,8.0,79451.30695029127,2,12.446163771962913,10.566175525611365,12.280590890653286,17.14008913592039,17.120756721067327,4.60816569496789,4.589040804058207,6.682897759663591,1.0612565021243408,11.282899621801763,2.4849066497880004,,,,,,
201,322,2016,NonResidential,Large Office,Cox Media Group Seattle KIRO TV (322),0656000005,,7,DOWNTOWN,1968,0.0,3.0,100734,26731,74003,Office,Office,100734.0,,,,,,20.0,97.19999695,98.19999695,305.1000061,308.3999939,9788717.0,9892566.0,0.0,2868908.5,9788716.0,0.0,0.0,,68.24,0.68,False,,Compliant,,,,,,,1,1,,48,3.0,43514.7990745424,,11.520238658264454,10.193579219581707,11.211860911905102,16.096740953824643,16.107294123940463,4.576770680087792,4.587006184301357,4.223030903183424,-0.3856624808119846,10.680856367829119,3.871201010907891,2801 3rd Ave,Seattle,WA,98121.0,47.61757,-122.35122
201,322,2015,NonResidential,Large Office,KIRO RADIO & TELEVISION,656000005,"{'latitude': '47.61744918', 'longitude': '-122.35032532', 'human_address': '{""address"": ""2807 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1968,1.0,3.0,100734,26731,74003,,,,,,,,,34.0,102.0,102.0,320.2,320.2,10273140.0,10273140.0,0.0,3010885.0,10273566.0,0.0,0.0,0.0,71.62,0.27,No,,Compliant,,,5.0,,9.0,19576.0,1,1,,47,3.0,43514.7990745424,,11.520238658264454,10.193579219581707,11.211860911905102,16.14504328006232,16.14504328006232,4.624972813284271,4.624972813284271,4.271374364570287,-1.3093333199837622,10.680856367829119,3.8501476017100584,,,,,,
202,323,2016,NonResidential,Small- and Mid-Sized Office,200 Cedar Street Building,0656000045,,7,DOWNTOWN,1981,1.0,4.0,77662,18504,59158,"Office, Parking",Office,62108.0,Parking,17570.0,,,,57.0,80.59999847,83.19999695,228.8999939,230.5,5007401.0,5168686.5,0.0,1256184.75,4286102.0,7212.97998,721298.0,,68.19,0.88,False,,Compliant,,,,,,,1,1,,35,4.0,34247.434114391486,,11.260121356237592,9.825742203911275,10.987967109627181,15.426427575982192,15.45812915230987,4.389498630529952,4.421247311168508,4.222297926532561,-0.12783337150988489,10.441366924515869,3.5553480614894135,200 Cedar Street,Seattle,WA,98121.0,47.61703,-122.35012
202,323,2015,NonResidential,Small- and Mid-Sized Office,GRANGE OFFICE PLAZA,656000045,"{'latitude': '47.61698381', 'longitude': '-122.34958888', 'human_address': '{""address"": ""200 CEDAR ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1981,1.0,4.0,79678,17570,62108,"Office, Parking",Office,62108.0,Parking,17570.0,,,,59.0,77.8,78.4,223.8,216.2,4829951.0,4870875.0,0.0,1238069.0,4224467.0,6057.0,605658.0,0.0,61.62,0.55,No,,Compliant,,,5.0,,9.0,19576.0,1,1,,34,4.0,35464.181345415906,,11.285748791541852,9.773948181181144,11.036630084101061,15.390346880649759,15.398784150377695,4.354141431184346,4.361823927356363,4.120986493168521,-0.5978370007556204,10.476278489918919,3.5263605246161616,,,,,,
203,324,2015,NonResidential,Large Office,FOURTH & BATTERY BUILDING,656000480,"{'latitude': '47.61591919', 'longitude': '-122.34571548', 'human_address': '{""address"": ""2401 4TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1978,1.0,12.0,234000,21790,212210,"Financial Office, Laboratory, Office, Parking",Office,175915.0,Laboratory,29865.0,Parking,23244.0,,36.0,91.0,91.0,283.1,283.1,19176010.0,19176010.0,0.0,5544028.0,18917009.0,2598.0,259786.0,0.0,145.67,0.27,No,,Compliant,,,56.0,,9.0,19576.0,1,1,,37,12.0,81515.44426628863,,12.363076394339839,9.989206427938665,12.265331629405095,16.769170576581413,16.769170576581413,4.51085950651685,4.51085950651685,4.9813437894608565,-1.3093333199837622,11.30854778147592,3.6109179126442243,,,,,,
203,324,2016,NonResidential,Large Office,Fourth and Battery,0656000480,,7,DOWNTOWN,1978,1.0,12.0,234000,21790,212210,"Financial Office, Laboratory, Office, Parking",Office,173786.0,Laboratory,29865.0,Parking,25373.0,,39.0,89.40000153,90.09999847,276.6000061,277.3999939,18661606.0,18811322.0,0.0,5347641.0,18246151.0,4154.516113,415452.0,,149.27,0.64,False,,Compliant,,,,,,,1,1,,38,12.0,81515.44426628863,,12.363076394339839,9.989206427938665,12.265331629405095,16.74197881613227,16.749969480572585,4.493120699293562,4.50092014763316,5.005756746645148,-0.4462871026284195,11.30854778147592,3.6375861597263857,2401 Fourth Avenue,Seattle,WA,98121.0,47.61619,-122.34599
208,329,2015,NonResidential,Large Office,1700 SEVENTH BUILDING,659000235,"{'latitude': '47.61374903', 'longitude': '-122.33507976', 'human_address': '{""address"": ""1700 7TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,2000,1.0,23.0,747747,205076,542671,"Office, Parking, Restaurant",Office,542461.0,Parking,219045.0,Restaurant,9337.0,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",88.0,58.2,60.3,170.5,177.0,32141070.0,33271260.0,0.0,8462395.0,28874890.0,32674.0,3267376.0,0.0,374.82,0.34,No,,Compliant,,,56.0,,31.0,18081.0,1,1,,15,23.0,164910.67769767196,,13.524819964448039,12.231135921123842,13.204258522102617,17.285645209567644,17.320204519234252,4.063885354737392,4.09933210373314,5.926445910733533,-1.0788096613719298,12.013159259014536,2.70805020110221,,,,,,
207,329,2016,NonResidential,Large Office,1700 Seventh Ave,0659000235,,7,DOWNTOWN,2000,1.0,23.0,747747,205076,542671,"Office, Parking, Restaurant",Office,542461.0,Parking,219045.0,Restaurant,9337.0,2017201620152014201320122011201020092008,90.0,56.20000076,57.40000153,164.6000061,168.6000061,30985420.0,31693704.0,0.0,8172315.0,27883939.0,31014.76953,3101477.0,,359.11,0.48,False,,Compliant,,,,,,,1,1,,16,23.0,164910.67769767196,,13.524819964448039,12.231135921123842,13.204258522102617,17.24902732923242,17.271628607134154,4.028916770422777,4.050044329980572,5.883628748240574,-0.7339691750802004,12.013159259014536,2.772588722239781,1700 Seventh,Seattle,WA,98101.0,47.61399,-122.33523
209,330,2015,NonResidential,Small- and Mid-Sized Office,LLOYD BUILDING,659000350,"{'latitude': '47.61378582', 'longitude': '-122.33638554', 'human_address': '{""address"": ""603 STEWART ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1926,1.0,10.0,63409,7757,55652,"Office, Retail Store",Office,45260.0,Retail Store,6187.0,,,,92.0,61.0,72.7,121.7,135.8,3137206.0,3742258.0,1853890.0,376118.0,1283369.0,0.0,0.0,0.0,152.04,2.31,No,,Compliant,,,56.0,,31.0,18081.0,1,1,,89,10.0,35405.3072384132,,11.057361086186503,8.956350940490871,10.926873294961768,14.958843152852289,15.13519973052655,4.110873864173311,4.286341384539473,5.024143644121048,0.8372475245337022,10.47461700987376,4.48863636973214,,,,,,
208,330,2016,NonResidential,Small- and Mid-Sized Office,Lloyd building,0659000350,,7,DOWNTOWN,1926,1.0,10.0,63409,7757,55652,"Office, Retail Store",Office,45260.0,Retail Store,6187.0,,,,90.0,66.90000153,74.40000153,131.6999969,140.6000061,3444270.0,3826622.5,2086424.75,397961.5938,1357845.0,0.0,0.0,,170.51,2.69,False,,Compliant,,,,,,,1,1,,90,10.0,35405.3072384132,,11.057361086186503,8.956350940490871,10.926873294961768,15.052222538669401,15.15749311830913,4.203198990004138,4.309455962403562,5.13879394603006,0.9895411936137477,10.47461700987376,4.499809670330265,603 Stewart Street,Seattle,WA,98101.0,47.61356,-122.33665
210,331,2015,NonResidential,Large Office,TOWER BLDG,659000365,"{'latitude': '47.61391297', 'longitude': '-122.33581187', 'human_address': '{""address"": ""1809 7TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1930,1.0,17.0,204790,30000,174790,"Office, Other - Recreation, Parking, Retail Store",Office,142034.0,Other - Recreation,17070.0,Retail Store,14666.0,"2010, 2009, 2007",92.0,43.4,43.4,125.3,125.3,7546235.0,7546235.0,0.0,1943098.0,6630126.0,9164.0,916385.0,0.0,94.89,0.32,No,,Compliant,,,56.0,,31.0,18081.0,1,1,,85,17.0,79233.10987042573,,12.229740342830357,10.308952660644293,12.071340532329133,15.836559321348542,15.836559321348542,3.770459441106359,3.770459441106359,4.552718325985667,-1.1394342831883648,11.28014954436184,4.442651256490317,,,,,,
209,331,2016,NonResidential,Large Office,The Tower Building,0659000365,,7,DOWNTOWN,1930,1.0,17.0,204790,30000,174790,"Office, Other - Recreation, Parking, Retail Store",Office,142034.0,Other - Recreation,17070.0,Retail Store,14666.0,201020092007,91.0,44.5,46.5,127.8000031,130.1000061,7739699.0,8081443.0,0.0,1974231.0,6736076.0,10036.21973,1003622.0,,100.26,0.49,False,,Compliant,,,,,,,1,1,,86,17.0,79233.10987042573,,12.229740342830357,10.308952660644293,12.071340532329133,15.861873355920828,15.905081003661053,3.7954891891721947,3.8394523125933104,4.607766811835357,-0.7133498878774648,11.28014954436184,4.454347296253507,1809 7th Ave,Seattle,WA,98101.0,47.61375,-122.33566
212,333,2015,NonResidential,Large Office,PLAZA 600 BUILDING,659000555,"{'latitude': '47.61419225', 'longitude': '-122.33715661', 'human_address': '{""address"": ""600 STEWART ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1969,1.0,20.0,265851,32334,233517,"Office, Parking",Office,226454.0,Parking,29214.0,,,"2010, 2007",95.0,57.2,67.1,128.4,140.3,12943756.0,15191665.0,5973700.0,2042807.0,6970347.0,0.0,0.0,0.0,509.69,1.8,No,,Compliant,,,56.0,,31.0,18081.0,1,1,,46,20.0,98119.727747357,,12.490691280445064,10.383874587161552,12.36101015858011,16.376124067670105,16.536257480151615,4.046553898385752,4.206184043977636,6.233802697769582,0.5877866649021191,11.493943723677962,3.828641396489095,,,,,,
211,333,2016,NonResidential,Large Office,Plaza 600,0659000555,,7,DOWNTOWN,1969,1.0,20.0,265851,32334,233517,"Office, Parking",Office,226454.0,Parking,29214.0,,,201720102007,90.0,64.59999847,69.5,146.6999969,151.8000031,14633233.0,15742790.0,6568832.0,2363540.25,8064399.0,0.0,0.0,,563.25,2.12,False,,Compliant,,,,,,,1,1,,47,20.0,98119.727747357,,12.490691280445064,10.383874587161552,12.36101015858011,16.498805732861758,16.571893040645904,4.168214387104346,4.241326752570746,6.333723579312354,0.7514160886839212,11.493943723677962,3.8501476017100584,600 Stewart Street,Seattle,WA,98101.0,47.61391,-122.33725
213,334,2015,NonResidential,Large Office,WEST 8TH,659000750,"{'latitude': '47.61586761', 'longitude': '-122.33737946', 'human_address': '{""address"": ""2001 8TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,2009,1.0,25.0,758043,228668,529375,"Office, Parking",Office,582725.0,Parking,191082.0,,,"2016, 2015",96.0,42.3,42.3,130.7,130.7,24641772.0,24672050.0,0.0,7049671.0,24054476.0,5883.0,588294.0,0.0,198.93,0.13,No,,Compliant,,,56.0,,7.0,19576.0,1,1,,6,25.0,166691.3221085525,,13.538495391247713,12.340026448926704,13.179452344388455,17.019953609628207,17.021181581931984,3.744787086052232,3.744787086052232,5.292953004048886,-2.0402208285265546,12.023899010446579,1.791759469228055,,,,,,
212,334,2016,NonResidential,Large Office,West 8th,0659000750,,7,DOWNTOWN,2009,1.0,25.0,758043,228668,529375,"Office, Parking",Office,582725.0,Parking,191082.0,,,20162015,95.0,46.40000153,46.40000153,142.3999939,142.3999939,27018020.0,27018020.0,0.0,7658746.5,26131643.0,8863.726563,886373.0,,229.25,0.3,False,,Compliant,,,,,,,1,1,,7,25.0,166691.3221085525,,13.538495391247713,12.340026448926704,13.179452344388455,17.11201460875873,17.11201460875873,3.837299492206347,3.837299492206347,5.434813111136574,-1.2039728043259361,12.023899010446579,1.9459101490553132,2001 - 8th Avenue,Seattle,WA,98121.0,47.61578,-122.33726
215,336,2015,NonResidential,Large Office,1918 EIGHTH AVE,660000650,"{'latitude': '47.61596574', 'longitude': '-122.33609553', 'human_address': '{""address"": ""1918 8TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,2009,1.0,36.0,824887,154972,669915,"Office, Parking",Office,743562.0,Parking,161119.0,,,"2017, 2015",97.0,51.6,51.1,162.2,160.6,38400928.0,38019316.0,0.0,11254670.0,38402528.0,0.0,0.0,0.0,267.71,0.12,No,,Compliant,,,56.0,,31.0,18081.0,1,1,,6,36.0,215044.7548463621,,13.623001686238643,11.95099973442179,13.414906117647377,17.46359218393261,17.453604904331428,3.9435216724875173,3.933784497209659,5.589904305077029,-2.120263536200091,12.278601447523183,1.791759469228055,,,,,,
214,336,2016,NonResidential,Large Office,1918 Eighth Avenue,0660000650,,7,DOWNTOWN,2009,1.0,36.0,824887,154972,669915,"Office, Parking",Office,743562.0,Parking,161119.0,,,20172015,97.0,53.20000076,52.90000153,166.8999939,166.1999969,39523852.0,39360016.0,0.0,11583777.0,39523847.0,0.0,0.0,,275.54,0.33,False,,Compliant,,,,,,,1,1,,7,36.0,215044.7548463621,,13.623001686238643,11.95099973442179,13.414906117647377,17.492414895729713,17.488261036652307,3.974058410633313,3.9684033677867485,5.618732808616453,-1.1086626245216111,12.278601447523183,1.9459101490553132,1918 Eighth Avenue,Seattle,WA,98101.0,47.61555,-122.33582
216,337,2015,NonResidential,Large Office,1800 9TH AVENUE BUILDING,660001135,"{'latitude': '47.61577337', 'longitude': '-122.33379691', 'human_address': '{""address"": ""1800 9TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1990,1.0,16.0,480840,141600,339240,"Fitness Center/Health Club/Gym, Office, Other, Parking, Restaurant",Office,311736.0,Parking,123356.0,Fitness Center/Health Club/Gym,18239.0,,94.0,52.0,55.2,162.6,172.4,17653930.0,18718988.0,0.0,5137256.0,17529045.0,1256.0,125615.0,0.0,128.87,0.11,No,,Compliant,,,56.0,,7.0,18081.0,1,1,,25,16.0,114393.40084337632,,13.08328985341819,11.860761460241756,12.734463100475637,16.686468979447397,16.745048967723374,3.9512437185814275,4.01096295328305,4.8588041443003,-2.2072749131897207,11.647398671328473,3.2188758248682006,,,,,,
215,337,2016,NonResidential,Large Office,1800 Ninth,0660001135,,7,DOWNTOWN,1990,1.0,16.0,480840,141600,339240,"Fitness Center/Health Club/Gym, Office, Other, Parking, Restaurant",Office,311736.0,Parking,123356.0,Fitness Center/Health Club/Gym,18239.0,,94.0,52.70000076,54.40000153,164.6000061,170.1000061,17867002.0,18468776.0,0.0,5197326.0,17733276.0,1337.241333,133724.0,,130.73,0.27,False,,Compliant,,,,,,,1,1,,26,16.0,114393.40084337632,,13.08328985341819,11.860761460241756,12.734463100475637,16.69846610585351,16.731592080353074,3.9646154699685687,3.9963641819868965,4.873134127573769,-1.3093333199837622,11.647398671328473,3.258096538021482,1800 9th Avenue,Seattle,WA,98101.0,47.61516,-122.33303
119,338,2016,NonResidential,Other,Jack R. McDonald Building,0660001215,,7,DOWNTOWN,2004,1.0,11.0,299070,68432,230638,Other,Other,250000.0,,,,,,,261.2999878,264.0,530.7000122,532.2999878,65336980.0,66000296.0,0.0,8983483.0,30651644.0,346853.3125,34685331.0,,2055.82,6.87,False,,Compliant,,,,,,,1,1,,12,11.0,84679.16825711026,1,12.60843293868486,11.13359583046669,12.348604660751967,17.99506874329554,18.00516978482913,5.565669125836937,5.575949103146316,7.628430074104318,1.927164106234258,11.346624903012447,2.4849066497880004,1900 9th Ave.,Seattle,WA,98101.0,47.61598,-122.33448
217,338,2015,NonResidential,Other,SEATTLE CHILDREN'S HOSPITAL  (RESEARCH INSTITUTE BLDG 1),660001215,"{'latitude': '47.61598206', 'longitude': '-122.33448029', 'human_address': '{""address"": ""1900 9TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,2004,1.0,11.0,299070,68432,230638,Other,Other,250000.0,,,,,,,247.3,251.8,511.4,510.9,61827040.0,62950692.0,0.0,8826039.0,30115695.0,317126.0,31712594.0,0.0,1894.2,5.9,No,,Compliant,,,56.0,,7.0,18081.0,1,1,,11,11.0,84679.16825711026,1,12.60843293868486,11.13359583046669,12.348604660751967,17.93985136718808,17.95786231124568,5.510602174527371,5.528635121610247,7.546551864792001,1.7749523509116738,11.346624903012447,2.3978952727983707,,,,,,
