OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,Location,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),DefaultData,Comment,ComplianceStatus,Outlier,2010 Census Tracts,Seattle Police Department Micro Community Policing Plan Areas,City Council Districts,SPD Beats,Zip Codes
121,2015,NonResidential,Small- and Mid-Sized Office,THE 2100 BUILDING,1498303116,"{'latitude': '47.58406769', 'longitude': '-122.3012707', 'human_address': '{""address"": ""2100 24TH AVE S"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98144""}'}",3,SOUTHEAST,2003,1,3,99433,35752,63681,"Office, Parking",Office,63681,Parking,35752,,,,71.00,69.70,72.90,218.90,228.80,4439034,4640342,0,1301006,4439217,0,0,0,30.95,0.12,No,,Compliant,,,38,,42,17919
122,2015,SPS-District K-12,K-12 School,MUIR ELEMENTARY SCHOOL(SPS-DISTRICT),1524049002,"{'latitude': '47.57334571', 'longitude': '-122.2906221', 'human_address': '{""address"": ""3301 S HORTON ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98144""}'}",2,SOUTHEAST,1991,1,2,58933,0,58933,K-12 School,K-12 School,60725,,,,,,71.00,35.40,40.70,111.20,127.90,2150120,2473493,0,630164,2150209,0,0,0,14.99,0.10,Yes,,Compliant,,,38,,42,17919
125,2015,SPS-District K-12,K-12 School,MERCER JR HIGH SCHOOL (SPS-DISTRICT),1624049214,"{'latitude': '47.56301254', 'longitude': '-122.3112112', 'human_address': '{""address"": ""1600 S COLUMBIAN WAY"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98108""}'}",2,GREATER DUWAMISH,1957,1,1,130862,0,130862,K-12 School,K-12 School,132060,,,,,,65.00,44.70,57.40,81.30,97.80,5851209,7508759,0,630571,2151598,36997,3699700,0,211.49,1.55,Yes,,Compliant,,,42,,41,18388
127,2015,SPS-District K-12,K-12 School,ORCA AT WHITWORTH ELEMENTARY SCHOOL (SPS-DISTRICT),1704900242,"{'latitude': '47.55446464', 'longitude': '-122.2764003', 'human_address': '{""address"": ""5215 46TH AVE S"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98118""}'}",2,SOUTHEAST,1989,1,3,59955,0,59955,K-12 School,K-12 School,59955,,,,,,94.00,25.40,28.60,76.30,84.90,1521329,1711759,0,417359,1424088,973,97300,0,15.1,0.15,Yes,,Compliant,,,11,,43,18800
130,2015,SPS-District K-12,K-12 School,MCCLURE MIDDLE (SPS-DISTRICT),1794501220,"{'latitude': '47.6367344', 'longitude': '-122.3589452', 'human_address': '{""address"": ""1915 1ST AVE W"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98119""}'}",7,MAGNOLIA / QUEEN ANNE,1964,1,2,93218,0,93218,K-12 School,K-12 School,93218,,,,,,84.00,33.00,39.90,66.60,73.90,3072599,3718511,0,417995,1426258,16464,1646400,0,97.38,0.98,Yes,,Compliant,,,50,,39,19575
131,2015,NonResidential,Other,CENTURYLINK: LAKEVIEW MAIN,1797500625,"{'latitude': '47.6753048', 'longitude': '-122.315342', 'human_address': '{""address"": ""1200 NE 64TH ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98115""}'}",4,NORTHEAST,1941,1,4,56521,0,56521,Other,Other,49000,,,,,,,131.50,129.80,412.90,407.60,6443260,6361099,0,1888411,6443526,0,0,0,44.92,0.30,No,,Compliant,,,53,,47,18792
132,2015,NonResidential,Other,ROOSEVELT SQUARE,1797500715,"{'latitude': '47.6756688', 'longitude': '-122.3161909', 'human_address': '{""address"": ""6417 ROOSEVELT WAY NE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98115""}'}",4,NORTHEAST,1929,1,2,206934,0,206934,"Other, Parking",Other,119146,Parking,0,,,,,37.40,38.80,76.50,76.70,4461969,4625346,0,620828,2118354,23437,2343703,0,139.24,0.63,No,,Compliant,,,53,,47,18792
136,2015,NonResidential,Hotel,HOLIDAY INN EXPRESS - SEATTLE NORTH,1926049012,"{'latitude': '47.73127184', 'longitude': '-122.3462382', 'human_address': '{""address"": ""14115 AURORA AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98133""}'}",5,NORTHWEST,2001,1,4,51390,0,51390,"Hotel, Parking",Hotel,51390,Parking,0,,,,86.00,75.20,75.20,137.50,137.50,3864699,3864699,0,421687,1438855,24259,2425903,0,138.87,2.58,No,,Compliant,,116,6,1,33,19582
137,2015,SPS-District K-12,K-12 School,BROADVIEW THOMSON ELEMENTARY (SPS-DISTRICT),1926049025,"{'latitude': '47.72465187', 'longitude': '-122.3539331', 'human_address': '{""address"": ""13052 GREENWOOD AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98133""}'}",5,NORTHWEST,1963,1,2,131013,0,131013,K-12 School,K-12 School,131909,,,,,,88.00,29.90,33.10,59.40,62.80,3939221,4362064,0,518910,1770594,21687,2168700,0,127.52,0.92,Yes,,Compliant,,123,6,1,32,19582
138,2015,SPS-District K-12,K-12 School,INGRAHAM HIGH (SPS-DISTRICT),1926049321,"{'latitude': '47.72595704', 'longitude': '-122.3375948', 'human_address': '{""address"": ""1819 N 135TH ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98133""}'}",5,NORTHWEST,1959,1,1,245587,0,245587,K-12 School,K-12 School,245587,,,,,,95.00,42.50,49.30,77.40,85.70,10444297,12104908,0,1128223,3849657,65948,6594800,0,377.09,1.47,Yes,,Compliant,,123,46,1,33,19582
139,2015,NonResidential,Hotel,EXTENDED STAY AMERICA,1926049434,"{'latitude': '47.72527664', 'longitude': '-122.3410974', 'human_address': '{""address"": ""13300 STONE AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98133""}'}",5,NORTHWEST,2002,1,3,69138,0,69138,Hotel,Hotel,70609,,,,,,75.00,46.70,47.10,104.70,106.00,3298570,3326526,0,551264,1880991,14177,1417657,0,88.4,1.16,Yes,,Compliant,,123,46,1,33,19582
140,2015,SPS-District K-12,K-12 School,B F DAY ELEMENTARY (SPS-DISTRICT),1931301145,"{'latitude': '47.65474724', 'longitude': '-122.3490987', 'human_address': '{""address"": ""3921 LINDEN AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98103""}'}",6,LAKE UNION,1991,1,3,66588,0,66588,K-12 School,K-12 School,66588,,,,,,75.00,30.50,33.90,95.90,106.30,2033074,2255184,0,595860,2033159,0,0,0,14.17,0.08,Yes,,Compliant,,,20,,2,18377
144,2015,NonResidential,Hotel,ALEXIS HOTEL,1974600035,"{'latitude': '47.60477066', 'longitude': '-122.33677673', 'human_address': '{""address"": ""1007 1ST AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1904,1,5,190980,0,190980,"Hotel, Parking",Hotel,190980,Parking,19051,,,,97.00,36.30,36.30,89.90,89.90,6935723,6935723,0,1385577,4727785,22081,2208135,0,150.23,0.68,No,,Compliant,,,14,,19,18379
